"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.172852","X.0.0273438","X1.01025","X.24.625","X.2.8125","X.5.4375","X88","X100","X138","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.470215","X0.10498","X1.05371","X20.875","X11.5","X2.1875","X94","X113","X71"
"1",0,0,0,0,0,0,0,0,-0.179688,-0.12207,0.990234,-42.125,-6.4375,-3.75,87,100,138,0,0,0,0,0,0,0,0,-0.669922,0.145508,1.3291,38.9375,-94.375,-12,95,112,70
"2",0,0,0,0,0,0,0,0,-0.202637,-0.159668,0.986816,-32.6875,-5.1875,4.1875,86,100,138,0,0,0,0,0,0,0,0,-0.50293,0.0732422,1.396,31.3125,-156.938,-17.625,95,109,69
"3",1,3,-31,0,0,0,-1,-1,-0.166992,-0.236816,0.973145,-35.5,-8.875,4.8125,85,99,138,-1,0,2,-6,6,1,-8,2,-0.377441,0.245117,1.33936,22.6875,-228.625,-15,96,93,67
"4",-10,7,58,1,-2,-3,-2,-3,-0.171875,-0.213379,0.981934,-23.3125,-12.5,4.875,84,99,138,-2,6,32,14,-6,-3,1,-5,0.116211,0.521973,1.28125,-74.375,-254.5,23.6875,95,84,66
"5",-6,-11,13,5,0,2,-1,-5,-0.144531,-0.210938,1.00195,-18.25,-13.25,3.0625,83,98,138,0,0,-2,-2,0,-6,-1,2,0.381348,0.220703,1.08594,-142.312,-282.062,34.6875,91,67,66
"6",7,15,1,3,0,2,-1,-1,-0.123535,-0.231445,1.00586,-18.8125,-10.375,2.1875,83,97,139,0,-3,-2,-4,0,-2,-3,-3,0.521484,0.143555,0.885254,-171.5,-274.5,47.75,88,56,67
"7",2,-6,-30,1,0,2,0,-3,-0.133789,-0.263184,0.990723,-12.625,-5.5625,3,83,97,139,-2,-2,-2,-1,33,23,28,23,0.614258,0.0234375,0.545898,-168.375,-238.375,59.125,80,42,71
"8",-5,-21,1,-2,-3,-11,0,0,-0.12207,-0.259766,0.996582,-3.625,-2.5,0.6875,82,97,139,1,1,3,-4,-37,-32,-22,6,0.63916,-0.196777,0.323242,-146.125,-184.125,72.9375,69,33,79
"9",3,-2,20,1,1,-2,-2,-1,-0.126953,-0.265137,0.996582,-1.6875,-0.375,-0.5625,82,97,139,-1,-1,-7,-12,-1,-7,3,-17,0.61377,-0.254395,0.225586,-109.812,-127.062,65.3125,62,31,84
"10",1,3,-11,-5,1,-1,-2,2,-0.114258,-0.258789,0.983887,3.1875,3.9375,-0.125,82,97,139,2,3,0,-2,50,29,39,-3,0.55957,-0.385742,0.0878906,-75,-56.5625,50.5,55,32,90
"11",3,7,39,7,-1,1,0,0,-0.136719,-0.243164,0.97998,3.0625,4.8125,0.8125,82,97,139,14,0,4,9,-27,4,-15,-6,0.585449,-0.4375,0.0595703,-45.5,-26.5625,35.75,52,33,91
"12",3,-2,-22,-7,-4,-4,0,-1,-0.14502,-0.224609,0.966309,-2.125,0.6875,0.625,82,97,139,6,6,3,15,33,9,-2,9,0.663574,-0.550781,0.0834961,-0.6875,-1.5625,3.6875,51,35,92
"13",1,1,-2,-1,-3,1,-2,-4,-0.145508,-0.239258,0.976074,-6.1875,-2.25,1.0625,82,97,139,-10,-7,-4,-2,-8,31,-2,-52,0.706543,-0.493652,0.0698242,12.75,15.8125,-14.5,51,34,92
"14",1,2,16,5,-1,3,0,-1,-0.130859,-0.27002,0.986816,-8.8125,-3.6875,0.8125,82,97,139,-6,-2,-2,-2,-33,11,-21,34,0.741699,-0.46582,0.12207,11.4375,9.4375,-0.1875,52,34,91
"15",-3,-10,1,3,1,2,-1,0,-0.125977,-0.274902,0.97998,-5.25,-1.1875,2.9375,82,97,139,-1,-1,3,21,25,13,18,-14,0.77832,-0.529785,0.161133,12.5625,3.0625,1,53,34,91
"16",2,-1,-7,2,0,-1,1,1,-0.132324,-0.268555,0.970703,-2.875,-1.75,1.4375,82,97,139,-5,-3,-6,-6,5,-43,38,-35,0.825684,-0.545898,0.21875,17.125,5.875,-4.0625,53,34,91
"17",2,-6,18,-3,-4,-4,0,11,-0.117676,-0.26123,0.989746,-1.0625,-2.5625,-0.5,82,97,139,36,-4,-7,-15,-27,-27,22,37,0.835938,-0.586914,0.248047,8.3125,3.4375,-3.6875,54,34,90
"18",2,-1,20,5,-4,-4,-1,-1,-0.12793,-0.276367,0.980469,-2,-0.4375,0.0625,82,97,139,5,11,1,6,-7,5,-34,-27,0.956055,-0.525391,0.200195,-3.875,-17.75,-12.1875,54,33,91
"19",1,0,-3,1,0,0,-1,-1,-0.126953,-0.276367,0.981934,-1.5,0.4375,0.4375,82,97,139,-24,-1,-2,3,4,-20,-43,1,0.883789,-0.48877,0.123535,28.75,43.1875,25.625,54,34,90
"20",3,10,14,3,-1,-4,0,1,-0.124512,-0.26123,0.97168,-1.5,0.875,0.4375,82,97,139,4,-7,-6,-2,0,-6,-81,21,0.702637,-0.570312,0.320312,-1.6875,28.5625,28.875,56,37,88
"21",0,2,-29,3,0,-4,-1,-5,-0.128418,-0.269043,0.977539,-3.375,-0.25,-0.8125,82,97,139,-37,-32,-7,1,-1,19,-38,-36,0.857422,-0.581543,0.262695,5.0625,4.6875,1.8125,57,37,88
"22",-9,-1,-10,-9,-2,-1,0,-3,-0.12793,-0.276367,0.97168,-2.75,-1.0625,-1.3125,82,97,139,1,-5,-4,-5,-11,9,14,1,0.804688,-0.568848,0.256836,11.25,-1.9375,4.375,57,37,88
"23",-3,-5,-5,7,-2,-3,-1,-1,-0.116699,-0.277832,0.978516,-2.625,-1.5,-0.5625,82,97,139,16,10,4,9,-5,40,58,32,0.799316,-0.588379,0.293945,-7.3125,-0.375,6.9375,57,38,89
"24",1,-1,-2,-2,0,-2,2,-1,-0.124512,-0.282227,0.981934,-3.5,-1.0625,-0.875,81,96,139,-4,3,8,11,-72,21,5,-10,0.766602,-0.558105,0.297363,-2.5625,-0.8125,8.1875,57,38,89
"25",-1,-5,1,-7,-1,1,-2,8,-0.111328,-0.289551,0.973145,-1.5625,0.25,0,81,96,139,0,-4,2,22,38,23,1,8,0.753418,-0.582031,0.26709,-10.0625,-8.5625,0.25,56,38,89
"26",-1,-7,-2,4,-2,-1,-1,-5,-0.124023,-0.283203,0.969727,0.375,0.5,0.3125,81,96,139,-6,-8,-11,-42,6,-60,-12,-8,0.76416,-0.59375,0.222168,-21.0625,-23.5,-7.9375,55,38,89
"27",-3,-6,-13,3,-1,-2,-3,-4,-0.125,-0.28125,0.976074,0.5625,-0.4375,0.375,81,96,139,24,17,24,53,59,3,51,24,0.874023,-0.527344,0.183105,-8.375,-36,-19.8125,54,36,91
"28",-1,9,7,4,-4,-1,0,1,-0.115234,-0.283691,0.975586,-0.875,-0.5625,0.875,81,96,139,0,-1,-4,2,-28,5,25,13,0.808105,-0.54248,0.18457,-45.6875,-54.4375,-35.125,52,34,92
"29",-1,0,-4,-5,-4,-2,-1,-2,-0.118652,-0.277832,0.971191,-0.6875,-0.75,0.875,81,96,139,5,4,8,12,-21,4,45,-17,0.828125,-0.483887,0.078125,-8.75,-40,-4.5,50,33,94
"30",-5,-15,-7,-9,-3,0,0,-1,-0.118164,-0.28418,0.978027,-0.6875,0.125,0.6875,81,96,139,-5,-4,-5,1,71,40,3,9,0.796875,-0.56543,0.0698242,-2.5,-17.375,-0.625,49,33,95
"31",-3,-1,11,-2,-2,4,-1,0,-0.119141,-0.287109,0.977051,0.375,0.0625,0.3125,81,96,139,0,-1,-3,3,9,9,-2,1,0.816406,-0.549805,0.0771484,7.875,6,2.875,49,33,95
"32",3,1,-19,-4,2,3,1,10,-0.121094,-0.272949,0.96875,0,-0.5625,-0.25,81,96,139,4,5,8,12,3,-34,-53,-2,0.8125,-0.550781,0.090332,12.625,10.125,3.6875,49,33,95
"33",-1,4,-8,-4,0,-5,-3,-2,-0.121582,-0.276367,0.972656,-1.125,-1.125,-0.9375,81,96,139,-35,-6,1,-4,-6,-5,-34,-34,0.836426,-0.563477,0.132812,4.3125,7.375,-3.25,50,33,94
"34",-2,-1,-3,-3,0,2,-1,-3,-0.123047,-0.297852,0.977051,-0.625,-0.1875,-0.5625,81,96,139,113,50,26,22,4,78,77,108,0.812012,-0.558105,0.141602,9.875,-4.4375,-6.375,50,33,94
"35",-1,4,17,-2,2,5,-1,-1,-0.114746,-0.279297,0.975098,0.8125,0.625,0.8125,81,96,139,5,-2,-5,-7,-6,29,0,13,0.921875,-0.573242,0.111816,22.4375,19,2.625,51,32,94
"36",2,0,-18,7,2,5,2,1,-0.120605,-0.279785,0.970215,-0.3125,0.125,0.5,81,96,139,-60,-12,-10,-11,-18,-32,-45,-77,0.708496,-0.623535,0.209473,1.6875,35.25,14.8125,53,34,92
"37",-1,2,10,-1,-1,-2,0,-3,-0.117188,-0.294434,0.97168,-0.5625,-2.3125,0.4375,81,96,139,0,0,-8,-5,14,11,9,-6,0.865234,-0.458984,0.147461,23.4375,14,-1.3125,54,35,92
"38",-4,-15,5,8,1,0,-1,-2,-0.121582,-0.288574,0.961426,-0.375,-4.625,1.875,81,96,139,2,-2,3,7,1,11,44,18,0.820801,-0.551758,0.158203,18.875,-0.5,-2.125,54,35,91
"39",-4,-17,-11,-7,-3,-2,0,-2,-0.119629,-0.282715,0.98291,-0.8125,-6.25,1.6875,81,96,139,-3,-1,0,-4,3,27,13,-6,0.775391,-0.512695,0.158203,12.9375,-2.0625,-4.625,55,34,92
"40",-4,-5,-10,7,-4,4,-3,-1,-0.10791,-0.26709,0.987793,-4.875,-4.1875,1.25,81,96,139,-4,-3,0,1,5,20,-1,-1,0.681641,-0.418457,0.100586,33.75,-4.25,-8.0625,55,34,92
"41",0,4,-23,1,1,-2,-2,-1,-0.0942383,-0.300781,0.978027,-8.125,1.5625,1.25,81,96,139,4,2,4,7,3,6,-6,4,0.600586,-0.327637,0.0664062,49.875,-2.25,-20.1875,56,33,92
"42",-1,-1,-12,0,-2,-4,-1,-2,-0.105957,-0.305176,0.95459,-3.25,1.3125,0.8125,81,96,139,3,6,4,6,-30,1,4,11,0.553711,-0.220215,0.0722656,107.062,55.875,-35.875,60,32,89
"43",-2,-5,1,-1,-2,-2,-2,-2,-0.114746,-0.290527,0.961914,-2.4375,-1.8125,-1.1875,81,96,139,3,6,5,4,0,0,-2,2,0.564453,-0.214844,0.30127,154.125,115.938,-47,69,34,84
"44",-1,-5,-7,0,-2,-3,0,-4,-0.0976562,-0.307617,0.973633,-4.5,-2.125,-2.875,81,95,139,-3,-3,-3,-1,1,0,-3,-3,0.610352,-0.0839844,0.450195,179.375,172.188,-54.1875,76,38,79
"45",-1,3,-1,-2,0,-1,-1,-2,-0.10791,-0.302246,0.967285,-6,-0.625,-3.5,81,95,139,-4,-5,-5,-6,6,-1,-4,-2,0.580078,0.0234375,0.80127,177.188,244.812,-45.25,85,50,75
"46",0,8,-19,7,3,2,-2,-2,-0.106934,-0.338379,0.959961,-7.125,-1.4375,-1.875,80,95,139,-2,-3,-2,0,14,7,0,-1,0.447266,0.0561523,1.00146,158.062,252.375,-45.5,89,60,73
"47",-1,-2,-22,3,-2,1,0,5,-0.0927734,-0.319336,0.970215,-3.3125,-2.1875,0.375,80,95,139,4,7,6,-8,-46,-8,-1,0,0.316895,0.105957,1.30859,112.5,241.562,-59.25,93,75,72
"48",1,9,22,-1,-5,0,-1,2,-0.0986328,-0.331543,0.960449,-3.625,-1.9375,1.3125,80,95,139,-1,-2,2,33,3,2,0,2,0.106934,0.167969,1.39893,27.8125,208.5,-71.75,95,84,71
"49",-3,-4,9,-5,-3,-8,0,-3,-0.0927734,-0.341309,0.979492,0.4375,-1.625,2.125,80,95,139,0,1,-3,-13,9,-6,1,0,-0.142578,0.0458984,1.39209,-6.625,135,-55.75,94,94,70
"50",-2,-6,-11,0,0,1,-3,0,-0.0864258,-0.333496,0.967285,3.4375,0.5,3.8125,80,95,139,1,-1,3,-4,-29,3,10,-1,-0.350586,0.202148,1.14648,13.875,89.875,-35.1875,94,101,69
