"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291016","X0.0292969","X0.977051","X.5.25","X.1.125","X.1.4375","X90","X104","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.17041","X0.543457","X1.00684","X10.75","X.1.125","X.10.125","X104","X98","X66"
"1",0,0,0,0,0,0,0,0,-0.262695,0.00292969,1.01367,-18.3125,-2.375,-1.625,89,104,142,0,0,0,0,0,0,0,0,-0.161133,0.658203,1.02197,14.4375,-14.4375,29.0625,104,98,66
"2",-12,3,4,-5,-4,-3,-2,-3,-0.224609,0.0244141,0.990234,-1.125,-1.8125,-0.5625,90,104,142,0,0,0,0,0,0,0,0,-0.0727539,0.648438,1.0459,-16.0625,-47.3125,62.5,104,95,67
"3",2,0,35,3,-2,-3,1,1,-0.239746,-0.0292969,0.989746,-3.25,-1,0.8125,89,104,142,-15,-14,-17,-14,-10,-17,14,-10,0.274902,0.342773,1.16162,-92.5,-131.312,135.562,101,83,69
"4",-16,6,0,2,-1,-1,-2,-5,-0.258301,0.00390625,0.979004,1.25,-1.625,-0.0625,89,104,142,-6,-8,-3,-6,-1,21,28,7,0.197754,0.40918,1.0918,-54.6875,-121.438,168.188,100,77,71
"5",1,6,-14,1,1,1,-3,-5,-0.257324,0.0258789,0.987793,-0.375,-1.25,-1.25,89,104,142,-3,-24,-7,-4,3,34,18,-27,0.354004,0.149414,0.977051,-114.938,-115.75,175,96,67,75
"6",5,-6,-13,-2,1,-3,-1,4,-0.24707,-0.0141602,1.00781,-4.3125,-0.1875,-2,89,104,142,-3,-6,-2,0,-8,-55,16,21,0.374023,0.0849609,0.846191,-94.1875,-99.9375,169.375,92,62,78
"7",4,-5,7,1,0,-2,-1,-3,-0.250488,-0.0395508,0.981934,-3.875,1.3125,-1,89,104,142,10,11,11,8,-15,-36,-6,-8,0.442383,-0.0332031,0.712402,-81.3125,-90.6875,135,87,56,83
"8",-6,-5,8,-2,-2,-3,-3,-8,-0.255859,-0.00488281,0.971191,0.875,-1.0625,-1.125,89,104,142,-16,32,15,17,4,25,-2,-49,0.425293,-0.0942383,0.614258,-52.9375,-78.625,106,84,54,86
"9",-4,13,59,3,-1,-2,0,-4,-0.254395,0.00537109,0.995605,-0.3125,-1.5625,-2.0625,89,104,142,19,-12,-4,-17,0,-52,-9,31,0.456543,-0.167969,0.584473,-19.6875,-60,63.625,81,51,90
"10",-17,-31,-26,7,2,-1,-9,-14,-0.249512,-0.0336914,0.982422,-4.0625,-1,-2.125,89,104,142,0,10,8,10,6,-10,13,91,0.511719,-0.248535,0.623535,-7.5625,-44.5,48.8125,80,50,92
"11",11,29,21,6,1,-1,-2,2,-0.257324,-0.0405273,0.975586,-1.5625,-1.625,-0.75,89,104,142,-7,-36,-18,-16,8,20,-40,-4,0.554688,-0.3125,0.641113,2.75,-19.25,4.5,79,49,93
"12",4,-5,-10,2,1,2,1,4,-0.243652,-0.0136719,0.994629,0.1875,-1.9375,0.875,89,103,142,49,-8,6,-1,-9,-38,-22,3,0.568359,-0.211426,0.716797,2.375,-3.9375,1.5,79,49,93
"13",3,-3,-16,-1,0,-2,1,3,-0.251465,-0.0263672,0.999023,-2.125,-0.3125,1,89,103,142,-26,-5,-19,-14,-30,-16,22,-11,0.666016,-0.350586,0.699707,-16.25,-6.5625,7.625,78,49,93
"14",-19,-3,4,-5,-2,-5,-2,-3,-0.241699,-0.0249023,0.995605,1.8125,0.5,1.125,89,103,142,22,10,-3,-7,-9,5,3,28,0.654297,-0.333496,0.684082,-9.75,5.9375,-8.375,78,49,93
"15",18,17,-11,0,0,1,3,-4,-0.25,-0.0195312,0.981445,-0.25,0.375,1.375,89,103,142,95,22,21,-9,17,50,88,73,0.625,-0.283203,0.638672,4,11.875,-4.125,78,49,93
"16",-5,-12,9,-3,-2,-4,-10,-12,-0.248535,-0.0078125,0.977051,-0.4375,-0.875,1.1875,89,103,142,-30,7,-8,73,21,-8,-21,-19,0.661621,-0.312012,0.698242,-1.4375,7.25,-7.8125,78,49,92
"17",10,3,24,-3,0,0,-2,-3,-0.247559,-0.0234375,1.00342,0.125,-0.8125,0.25,89,103,142,9,6,7,-7,5,14,1,4,0.67627,-0.308105,0.709473,2.1875,8.6875,-1.9375,78,50,92
"18",0,-11,-5,-3,-1,-1,-2,-3,-0.246582,-0.015625,0.990723,0.3125,-0.5,-0.125,89,103,142,-52,-74,-44,-43,-12,-45,-25,-21,0.682129,-0.313965,0.713379,7.25,5.5625,-1.25,79,50,92
"19",-3,18,4,0,1,2,1,1,-0.248535,-0.0239258,0.98877,-0.625,-0.3125,0.125,89,103,142,-22,-41,30,-83,-9,26,-13,20,0.630371,-0.294434,0.703125,9.25,7.8125,-0.4375,79,50,92
"20",1,11,7,-4,0,-3,-3,-6,-0.240723,-0.0195312,0.990723,0.0625,-0.375,0.25,89,103,142,-43,-34,-23,66,89,-19,-12,-40,0.629883,-0.307129,0.715332,7.5625,10.625,-7.125,79,50,92
"21",-6,-6,-6,2,3,2,-3,-4,-0.248535,-0.0200195,0.991211,0.5625,-0.375,0.125,89,103,142,-26,7,9,58,33,-5,14,0,0.595215,-0.221191,0.70166,18.4375,7,2.875,80,51,92
"22",-1,-1,-34,-3,-2,-2,1,2,-0.250488,-0.0180664,0.991211,0.0625,0,0.5,89,103,142,28,18,-2,36,6,14,27,-9,0.651367,-0.23584,0.708008,11.75,-1.0625,-0.6875,80,51,92
"23",0,3,-7,-6,-7,-4,-6,-7,-0.244629,-0.0209961,0.984863,1.375,0,0.8125,89,103,142,82,52,10,12,-5,2,6,-7,0.647461,-0.251465,0.753906,1.1875,-3.5625,-0.8125,80,51,92
"24",24,-34,-17,-4,-2,-3,-4,-1,-0.244629,-0.0078125,0.986328,1.4375,0.125,0.5625,89,103,142,-21,-12,11,19,30,25,13,-42,0.647461,-0.287109,0.749023,-7.0625,-7.75,3.5,80,51,92
"25",-13,8,19,5,1,2,-1,-2,-0.248047,-0.0244141,0.989258,0.1875,0.5,0.3125,89,103,142,-49,10,14,46,17,13,-7,13,0.665039,-0.265137,0.748535,-8.3125,-18.0625,3.375,79,50,92
"26",-8,-1,-3,1,0,0,3,7,-0.248047,-0.0112305,0.983398,-0.125,0,0.25,89,103,142,-87,47,24,-13,-2,65,2,-5,0.638672,-0.287598,0.708496,-10.0625,-24.875,-0.375,79,49,92
"27",-2,5,21,1,0,-1,-4,-8,-0.248047,-0.0229492,1.00586,1.25,0.0625,0,89,103,142,16,32,-9,-13,-5,2,51,15,0.660645,-0.299805,0.708984,-6.75,-14.4375,-2.25,79,48,92
"28",-9,9,6,-3,-1,0,11,17,-0.247559,-0.012207,0.993164,1.75,1.3125,0.9375,89,104,142,-70,14,13,17,58,84,41,-83,0.675293,-0.304199,0.687988,-2.75,-1.625,1.8125,78,48,93
"29",-7,-11,-2,-1,1,0,-3,-7,-0.253906,-0.00732422,0.972168,-0.3125,0.3125,0.5,89,104,142,39,11,26,11,28,60,3,22,0.664551,-0.286621,0.699219,-3.0625,-3.6875,0.125,78,48,93
"30",-33,-35,-29,-3,0,0,9,-2,-0.249512,-0.0107422,0.990234,0.8125,-0.1875,0.125,89,104,142,49,22,10,12,2,38,15,30,0.665527,-0.283691,0.698242,-2.8125,-4.875,-2.625,78,47,93
"31",4,-3,-14,-1,0,2,-4,2,-0.254395,-0.0151367,0.987793,-1.25,-0.1875,0.25,89,104,142,-28,-5,31,-51,-13,7,12,-41,0.683105,-0.28125,0.682129,0.6875,-1.4375,-3.9375,78,47,93
"32",4,-8,-20,1,0,-1,-5,2,-0.253906,-0.0166016,0.984863,-0.3125,-1.25,0.25,89,104,142,16,2,6,29,28,-28,18,36,0.681641,-0.28125,0.665527,5.5625,1.75,-4.75,78,47,92
"33",-14,8,13,2,2,-1,-2,-6,-0.251953,-0.0107422,0.98584,-1,-1,0.3125,89,104,142,20,7,-2,-9,-40,4,-7,21,0.666504,-0.269043,0.642578,8.5625,25.5,-9.125,79,48,92
"34",-3,-5,-11,-2,-2,0,1,-4,-0.249512,-0.0151367,0.989258,-2.9375,-2.25,0.0625,89,103,142,3,-20,5,-49,-52,-90,-21,10,0.650391,-0.399414,0.707031,8.125,-8.875,-9.375,79,49,92
"35",-12,28,40,1,1,0,3,0,-0.250488,-0.0131836,0.998047,-1.9375,-1.8125,-0.0625,89,103,142,-9,10,8,19,25,8,1,13,0.678223,-0.304688,0.738281,4.4375,-3.9375,-4.3125,79,48,92
"36",7,-8,-35,-3,-2,-1,0,0,-0.241211,-0.0249023,0.995117,-0.25,0.0625,-0.375,89,103,142,-11,-22,0,-35,-12,0,-6,-3,0.658203,-0.259766,0.710938,1.875,2.3125,2.0625,79,48,92
"37",8,-5,42,2,1,-2,0,1,-0.23291,-0.0209961,1.00342,1.3125,0.8125,-0.5,89,103,142,8,-29,-17,4,22,55,32,7,0.663086,-0.262207,0.706543,-0.125,1.9375,2.6875,79,48,92
"38",3,6,-4,0,1,1,-2,-1,-0.250977,-0.0185547,0.98877,0.1875,1.6875,-1,89,103,142,-3,-11,-9,-18,-12,33,-3,10,0.632812,-0.26416,0.686523,-1.625,-5.1875,0.6875,79,48,92
"39",-6,14,0,-6,-1,-4,-1,-2,-0.245605,-0.0161133,0.981445,0.8125,1.0625,-0.5,89,103,142,-3,-6,-1,2,-3,-6,-23,10,0.561523,-0.241211,0.619141,-0.375,-3.1875,-2.9375,79,48,92
"40",1,3,17,-1,-1,1,-1,0,-0.255371,-0.0131836,0.961426,-1.3125,-2.0625,-1.1875,89,103,142,4,5,1,1,1,-3,-1,-2,0.499512,-0.206543,0.583008,1.375,-2.9375,-12,79,48,92
"41",-39,-17,0,0,-3,-3,-2,-5,-0.23584,-0.0180664,1.00879,1.25,-1.6875,0.0625,89,103,142,-7,-3,-5,-6,-4,6,-5,-7,0.496094,-0.191895,0.525391,8.8125,15.3125,-38.8125,80,48,91
"42",0,5,-15,-1,-1,2,3,1,-0.262695,-0.0341797,0.978516,-2.875,-0.25,1.25,89,103,142,1,1,2,6,-10,-29,1,3,0.428223,-0.129883,0.561523,38.9375,47.9375,-87.375,82,49,88
"43",3,11,12,2,0,0,0,0,-0.249023,-0.0141602,0.986328,3.5,-2,1.875,89,103,142,0,4,1,17,3,29,-1,5,0.626465,-0.0375977,0.69043,83.9375,92.8125,-156.062,88,52,83
"44",-6,1,2,-3,-1,-2,-1,-1,-0.23291,-0.00976562,1.00977,2.75,-2.3125,1.3125,89,103,142,0,1,0,-8,-14,-2,0,-1,0.550781,0.157715,0.824219,101.125,123.312,-182.312,95,59,77
"45",-5,-7,16,1,-2,-2,-3,-1,-0.258301,-0.0244141,0.987305,1.3125,-0.625,2.0625,89,103,142,-6,-10,-9,-33,-14,2,2,0,0.47168,0.264648,0.935059,95.8125,122.688,-194.062,98,66,73
"46",-7,9,6,-1,-1,-1,-4,-2,-0.231934,-0.00683594,0.996094,2,-0.3125,1.4375,89,103,142,0,-1,-1,12,-6,-7,-5,-3,0.30127,0.459961,1.07471,59.375,123.75,-181.625,102,77,69
"47",-3,-3,-10,-1,1,0,1,-1,-0.242676,-0.0078125,0.989258,1.5625,-0.5625,0.5625,89,103,142,-3,0,0,-2,-2,-4,-6,-1,0.0986328,0.608887,1.13672,26.75,103.875,-139.062,103,83,67
"48",-9,-3,-18,-7,-3,-2,1,-1,-0.242676,-0.000976562,0.992188,0.25,0.5625,0.8125,89,103,142,1,-1,-2,-10,-3,4,3,2,0.111328,0.57373,1.13086,18.4375,74.8125,-106.438,103,88,66
"49",-21,12,1,1,0,-2,-1,-1,-0.247559,-0.0214844,0.990234,1.125,0.375,0.5625,89,103,142,1,2,2,8,1,0,5,0,-0.0776367,0.637207,0.991699,35.4375,42.875,-66,104,93,65
"50",-8,4,15,-2,0,0,-1,1,-0.247559,0.00537109,0.98584,1.5625,0.6875,0.125,89,103,142,-1,-1,-1,-3,1,2,4,0,-0.200195,0.65332,1.05127,-7.0625,18.625,-36.5,104,96,64
