"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.255371","X0.0512695","X1.02246","X.20.0625","X.7.75","X23.375","X92","X106","X134","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.137207","X0.19043","X1.10352","X8.5625","X27.5625","X6.875","X97","X98","X75"
"1",0,0,0,0,0,0,0,0,-0.255859,0.00488281,0.981934,-25.125,-6.3125,22.75,92,105,134,0,0,0,0,0,0,0,0,-0.232422,0.279297,1.10742,32.125,20.875,12.0625,98,99,76
"2",0,0,0,0,0,0,0,0,-0.237305,-0.0410156,0.993652,-24.125,-6.8125,22.3125,92,105,134,0,0,0,0,0,0,0,0,-0.583984,0.453613,0.938965,19.375,-20.875,31.5625,99,99,76
"3",8,3,-14,-3,-1,-5,-1,-2,-0.132324,-0.127441,0.976074,-52.25,-12.6875,4.75,90,104,135,-1,2,6,-9,-6,-3,-2,-1,-0.0874023,0.476562,1.07617,26.75,-79.25,90.3125,100,95,78
"4",-8,0,25,-2,-1,3,-5,-5,-0.0693359,-0.240234,1.08398,-11.8125,-14.0625,7.1875,89,103,135,6,7,34,2,7,4,0,0,0.233398,0.405762,1.05811,48.6875,-116.562,132.812,101,86,80
"5",-17,16,-11,-1,-1,0,-1,-3,-0.184082,-0.0224609,1.07764,16.3125,-5,18.6875,89,102,135,2,3,17,3,9,5,2,2,0.233398,0.405762,1.05811,48.6875,-116.562,132.812,101,86,80
"6",-31,-19,-21,-5,-3,-2,-2,-5,-0.262695,0.130371,1.00732,1.375,1.1875,5.6875,89,102,136,2,1,-8,4,6,1,-1,2,0.47998,0.302734,0.902832,-31.5625,-119.875,158,100,68,85
"7",0,-5,-10,-3,-3,-1,-2,-2,-0.240723,0.0522461,0.994629,-1.25,0.125,1.125,89,102,136,4,11,7,0,10,1,1,-1,0.494141,0.233398,0.806641,-31.5,-111.688,159.875,99,62,87
"8",3,-4,66,3,-2,-1,2,0,-0.20752,-0.0146484,0.986328,-9.125,-0.6875,-2,89,102,136,-8,-10,0,-15,-2,-7,2,-7,0.578613,0.132324,0.725586,-26.1875,-84.125,124.688,96,54,91
"9",-18,-37,-16,0,-4,-4,-3,-3,-0.216797,-0.0625,0.987305,-3.75,-2.3125,0.125,89,102,136,-3,-1,-1,5,-2,-28,-4,1,0.525391,0.0810547,0.657715,-8.6875,-56.0625,74.0625,94,49,94
"10",7,3,19,1,0,10,-1,1,-0.224609,-0.0219727,1.00195,-1.875,-2.875,1.0625,89,102,136,26,-2,-1,2,7,-23,-20,5,0.53418,0.0996094,0.611328,-11.3125,-35.4375,56.3125,92,47,95
"11",6,-4,1,-9,-3,-5,-2,-4,-0.222656,0.00976562,0.999512,-5.6875,-1.625,-1.0625,89,102,136,-36,-16,-12,-11,-10,-34,-11,-34,0.594238,0.0571289,0.61084,12.3125,8.875,25.5625,92,47,97
"12",-5,0,-11,4,0,-2,1,1,-0.221191,-0.0454102,0.994141,-3.9375,-1.5625,-2.9375,89,102,136,-50,-23,-3,-2,-10,15,-41,-32,0.569336,0.00439453,0.652344,17.6875,28.75,24.0625,91,48,97
"13",32,-23,7,-8,-5,0,-7,-2,-0.222168,-0.0629883,1,-1.625,-1.25,-1.875,89,102,136,-15,15,13,10,15,81,48,-20,0.55957,0.0488281,0.700684,23.875,27.1875,1.375,92,49,98
"14",28,34,17,3,1,0,3,4,-0.213867,-0.0463867,0.990234,-1,-0.25,0.25,88,102,136,127,38,-18,9,-17,-31,52,-5,0.626465,0.0454102,0.743652,46.1875,5.8125,-22.375,93,50,97
"15",-3,19,2,-3,-1,-2,3,-4,-0.219727,-0.0322266,0.998047,-0.0625,-0.6875,0.4375,88,102,136,-48,34,-6,-67,-29,124,53,-8,0.61377,0.0576172,0.832031,19.375,8.125,-4.875,93,51,97
"16",-4,-5,6,0,-1,-4,-3,-3,-0.211426,-0.0332031,0.996582,-1.625,-1.125,0.3125,88,102,136,42,20,5,24,64,-44,-103,72,0.656738,0.0761719,0.833496,7.5625,-3.5625,9.5,94,51,98
"17",2,-7,8,-4,-2,0,-2,-2,-0.211914,-0.0449219,1.00146,-0.5625,-0.8125,-0.1875,88,102,136,22,7,31,1,-7,-15,2,0,0.690918,0.0205078,0.807129,7.5,-7.125,8.875,93,50,98
"18",-3,-6,-10,-7,-2,0,-4,-3,-0.217285,-0.046875,0.99707,-0.5,0.1875,0.375,88,102,136,2,11,8,8,-9,-30,5,27,0.663086,0.0507812,0.791016,2.3125,-1.5,-6.4375,93,50,98
"19",3,0,-2,0,-2,-2,-2,1,-0.220215,-0.0361328,0.992676,0.8125,0.125,0.25,88,102,136,24,-2,5,11,58,30,15,20,0.597168,0.104004,0.790039,-0.625,-5.5625,-9.5,94,50,98
"20",-8,-3,5,-2,-3,4,1,2,-0.21582,-0.0307617,0.999023,1.0625,-0.5625,0.5,88,102,136,21,24,33,75,-50,31,37,9,0.638672,0.10498,0.74707,-4.25,2.25,-7.125,94,50,97
"21",-1,3,-17,-5,-4,-4,-1,-1,-0.212402,-0.0390625,0.995117,0.1875,0.25,0.1875,89,102,136,-7,-14,-10,-24,48,-17,-9,8,0.683594,0.0258789,0.717773,-7.875,-2.6875,-1.8125,94,50,97
"22",-6,-13,-12,-5,-2,-1,0,1,-0.22168,-0.034668,0.990234,-0.8125,-0.3125,0.25,89,102,136,-1,5,1,-2,15,-26,1,27,0.676758,0.0932617,0.742676,-1,-1.875,-13.1875,94,50,97
"23",0,1,8,-1,0,4,-5,-2,-0.217285,-0.0390625,0.997559,-0.5625,-0.625,0.4375,89,102,136,-4,-3,-1,2,-13,7,0,2,0.632324,0.0878906,0.758789,-4.25,1.6875,-6.1875,94,50,97
"24",3,2,10,1,1,-4,0,-1,-0.216309,-0.0336914,0.995117,-1.0625,-0.375,0.5625,89,102,136,11,2,1,1,45,14,-13,22,0.615723,0.132812,0.754395,-1.3125,3.875,-8.1875,94,50,97
"25",1,6,-18,2,1,5,3,0,-0.217285,-0.0341797,0.994629,-0.375,-0.4375,0.5625,88,102,136,1,2,4,5,-4,-14,-7,0,0.647949,0.107422,0.764648,-2,-0.375,-3.75,94,50,96
"26",-5,-26,-13,-2,-3,2,-6,-1,-0.214355,-0.0361328,0.997559,0.375,-0.5625,0.3125,88,102,136,-5,-7,-3,4,6,2,-2,3,0.654785,0.100586,0.775391,1.0625,-2.6875,-1.0625,94,50,96
"27",27,-14,-17,-8,-6,-7,-5,-3,-0.211914,-0.034668,1.00098,0.0625,-0.1875,-0.0625,88,102,136,3,5,-4,-6,-7,-9,-6,5,0.663574,0.0986328,0.808105,-2.9375,-5.6875,1.8125,94,50,96
"28",9,8,-8,-1,0,-2,0,2,-0.214355,-0.0366211,0.997559,0.3125,-0.1875,-0.375,88,102,136,-1,1,0,-1,10,11,23,2,0.663086,0.0908203,0.773438,-3.125,-3.375,5,94,50,97
"29",-19,5,14,4,-2,-1,-2,-2,-0.218262,-0.0380859,0.992188,-0.4375,0,-0.4375,88,102,136,-3,-2,-1,-1,-9,2,20,-8,0.673828,0.132324,0.76709,-3.9375,-6.3125,6.4375,93,49,97
"30",-6,-6,34,0,-3,2,0,-1,-0.21875,-0.0424805,0.991699,0,0.25,0,88,102,136,-15,-10,1,-1,5,16,44,18,0.67334,0.0908203,0.742188,3.5625,1.625,11.5625,93,49,97
"31",-12,-15,-19,-5,2,1,-2,-3,-0.212402,-0.0332031,1.00391,1,-0.9375,0.125,88,102,136,21,0,-6,24,20,-27,-53,-5,0.669922,0.111328,0.758789,5.8125,5.9375,11.125,93,49,97
"32",13,0,-3,-3,-2,-3,0,0,-0.222656,-0.0395508,0.992188,-2.125,0.25,0.5625,88,102,136,-84,-4,30,-38,-14,59,-58,-58,0.589844,0.0834961,0.768066,2.1875,14.8125,10.0625,93,50,98
"33",-6,8,7,2,1,0,-2,0,-0.208008,-0.0351562,0.996582,1.5625,-0.5625,0.1875,88,102,136,-128,-19,8,70,-32,-103,-14,-121,0.694824,-0.000976562,0.734375,8.4375,-2.5,-6.8125,93,49,98
"34",4,9,26,4,0,-3,0,3,-0.21582,-0.0385742,1.00732,-1.125,0.3125,0,88,102,136,-9,-7,11,5,-4,-56,-34,-68,0.629883,0.105469,0.780273,6.9375,3.3125,6.3125,93,50,98
"35",-4,0,25,2,-1,2,-2,-2,-0.211426,-0.0205078,0.990234,-0.4375,0.375,-0.75,88,102,136,-93,-5,-19,-22,-6,20,1,-5,0.646484,0.0795898,0.758789,5.25,-4.8125,5.8125,93,50,98
"36",4,7,-22,-3,-4,-5,1,4,-0.210938,-0.0322266,0.998535,-0.0625,0.375,-1.5625,88,102,136,71,8,2,1,-20,-17,-17,26,0.581543,0.106445,0.772949,0.75,-15.125,-3.0625,93,49,98
"37",-17,-16,6,-6,-1,-3,0,-3,-0.22168,-0.0395508,0.986328,-1.875,0.25,-1.9375,88,102,136,-5,-11,-6,2,10,-7,-5,2,0.644531,0.0493164,0.711426,-0.75,-6.5,-9.4375,94,49,98
"38",4,7,-4,-1,-4,-3,-4,-1,-0.210938,-0.0336914,0.997559,-0.4375,-1.125,-1.625,88,102,136,14,1,1,-1,-34,-28,1,2,0.516602,0.114746,0.697266,-3.3125,19.875,-24.5,94,50,97
"39",-6,5,-6,-4,-3,-6,0,-2,-0.216797,-0.0463867,0.997559,-0.875,-0.8125,-0.875,88,102,136,2,2,1,3,16,20,-6,-3,0.441406,0.0966797,0.67334,-20.4375,34.875,-33.0625,94,52,97
"40",0,8,2,-1,2,1,2,0,-0.223145,-0.0522461,1.00146,-0.0625,-0.3125,-0.625,88,102,136,14,1,-1,-2,-3,4,-4,3,0.634766,0.090332,0.730469,-16.375,79.75,-97,94,56,95
"41",-2,-1,-11,-1,0,-3,-3,-4,-0.22168,-0.0424805,0.984863,1.5625,-0.625,0.625,88,102,136,1,-2,0,2,-4,1,-5,-3,0.379395,0.169922,0.828125,14.25,115,-137.125,97,64,91
"42",3,2,2,1,-1,2,1,0,-0.22998,-0.0473633,1,3,-2.5,0.75,88,102,136,-3,-5,-2,-7,-6,1,-2,-2,0.397949,0.365234,0.898926,5.5625,99.875,-163.062,98,69,88
"43",-16,-22,-3,-5,-2,2,-3,-5,-0.203125,-0.0410156,1.00244,2.9375,2.125,1.4375,89,102,136,9,4,-6,-9,-12,2,-1,2,0.259766,0.367676,0.985352,-14,104,-159.062,99,78,84
"44",-8,6,0,4,0,2,-1,0,-0.20166,-0.0307617,0.992676,1.375,0.8125,1.375,89,102,136,-4,0,-4,1,9,-1,-8,-5,0.123047,0.439453,1.07324,-26.3125,91.375,-146.688,99,84,82
"45",-6,-6,-27,-3,-2,-4,-3,-3,-0.218262,-0.0195312,0.994141,2.0625,0.0625,0.3125,89,102,136,2,-2,-5,-9,-2,-22,-5,-1,0.00537109,0.364258,1.0752,0.5625,59.8125,-99.125,98,90,79
"46",3,-5,8,-6,-2,-1,-1,1,-0.213379,-0.027832,0.998535,0.875,0.3125,-0.375,89,102,136,1,0,-5,-4,-6,-6,-3,-2,-0.0810547,0.427734,1.03027,1.3125,39.9375,-79.375,98,93,78
"47",0,-2,-16,-2,-3,-1,-5,3,-0.220703,-0.0292969,0.989746,-1.0625,0.125,0,89,102,136,3,1,2,-5,11,13,-1,1,-0.0634766,0.324707,1.00977,11.9375,21.4375,-46.75,98,95,77
"48",-5,-6,-33,-7,-2,-3,-4,-3,-0.216309,-0.027832,0.997559,1.6875,0.0625,0.3125,89,102,136,-11,1,0,1,7,2,5,0,-0.108887,0.392578,0.97168,-0.375,15.5625,-31.1875,98,96,76
"49",5,2,-9,3,1,2,-2,-2,-0.216797,-0.0268555,1.00293,0.6875,0.5,0.4375,89,102,136,-6,-2,0,2,5,-1,-1,-2,-0.0209961,0.208008,1.00635,-7.5,-14.1875,-1.5625,98,96,76
"50",0,9,-12,0,1,6,0,3,-0.217285,-0.019043,0.98877,0.3125,0.4375,0.75,89,102,136,4,-1,1,1,0,2,1,1,-0.125,0.395996,0.911133,48.875,-6.375,0.5625,99,95,75
