"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.204102","X0.0942383","X0.972656","X.3.1875","X1","X.0.5625","X92","X101","X79","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.205078","X.0.0996094","X0.975098","X.3.5","X0.9375","X.2.4375","X86","X99","X77"
"1",0,0,0,0,0,0,0,0,-0.217285,0.0874023,0.975098,3.3125,-2.9375,-0.5,92,101,79,0,0,0,0,0,0,0,0,-0.141113,-0.137695,1.0083,-8.9375,0.125,1.1875,86,99,77
"2",-3,-2,0,-3,-1,-2,-2,0,-0.19873,0.0932617,0.991699,-0.0625,2.4375,1.0625,92,101,79,0,0,0,0,0,0,0,0,-0.153809,-0.160156,1.0542,-1.8125,0.125,-0.4375,86,99,77
"3",3,0,-1,1,1,0,-2,-3,-0.207031,0.0991211,0.999023,-0.4375,1.125,1.75,92,101,78,-1,4,-3,8,8,5,-3,-1,-0.237305,-0.250977,1.06982,-8,8.5625,9.75,85,100,77
"4",1,-1,-2,-3,-2,-1,-2,0,-0.202637,0.110352,1.00098,1.5,1.25,0.6875,92,101,79,-2,-9,-8,16,21,4,-3,-8,-0.246094,-0.342285,1.07764,19.125,15.8125,34.75,85,100,78
"5",4,-4,1,1,-2,-2,0,-1,-0.207031,0.103516,0.989746,4.0625,0.125,-0.625,92,101,78,-14,5,23,11,12,6,17,13,-0.567871,0.0805664,0.628418,48.9375,-30.9375,58.5625,87,101,79
"6",3,3,3,1,-2,-1,-2,-4,-0.198242,0.0986328,0.999023,3.5625,-0.25,-0.8125,93,101,78,5,4,12,2,34,4,1,-9,-0.156738,0.130859,1.12744,19.6875,-124.875,65.4375,88,96,81
"7",1,-1,-1,1,1,0,-1,0,-0.225586,0.106934,0.988281,0.3125,1.0625,-0.6875,93,101,78,27,-11,-23,-14,-14,-13,-25,7,-0.0463867,0.0571289,1.16846,28.8125,-149.75,97.3125,89,90,83
"8",2,0,-1,0,-2,0,0,-3,-0.233887,0.090332,0.986328,-3.3125,1.0625,-0.625,93,101,78,-14,-10,-15,-35,-19,-14,-5,22,0.289551,-0.0615234,1.19092,35.25,-186.938,136.688,89,80,87
"9",5,3,-2,-2,1,-1,0,-1,-0.214844,0.122559,1.00244,1,0.3125,0.375,93,101,78,6,4,29,28,-2,-3,8,-15,0.596191,-0.0600586,1.0249,35.6875,-206.312,163.312,90,67,92
"10",0,-5,-3,-2,-2,-2,-2,6,-0.203125,0.0854492,0.976562,-3.8125,-0.3125,0.0625,92,101,78,3,7,15,36,8,3,-19,-3,0.729004,-0.23291,0.895508,4.125,-193.938,157.125,88,59,95
"11",2,-1,0,1,0,0,-1,-2,-0.195312,0.0932617,0.98584,-2.625,-1.625,0.8125,92,101,78,17,-2,-3,0,-11,-35,-83,-5,0.853027,-0.26709,0.683105,-7.8125,-181.062,146.688,84,49,102
"12",-8,-6,-1,0,0,0,-1,-1,-0.209473,0.103516,1.01904,-2,-1.5,1.0625,92,101,78,-37,-11,-5,0,-8,23,9,-9,0.884766,-0.393555,0.531738,-13.375,-140.812,117.125,81,44,106
"13",0,-2,-2,-3,-2,-2,-2,-1,-0.202148,0.10498,1.0083,-2.75,0.25,0.0625,92,101,78,-45,-15,-3,2,-5,2,27,-28,0.539062,-0.363281,0.477539,8.125,0.1875,84,78,43,111
"14",5,1,-1,-3,-2,0,-2,-1,-0.205078,0.0917969,0.990234,4.125,1.0625,0.3125,92,101,78,0,-5,3,6,-2,-24,-13,-21,0.402344,-0.226074,0.52002,11.25,56.6875,80.625,77,46,112
"15",-3,-3,-2,-1,-3,-1,-1,0,-0.205078,0.09375,1.00195,0.875,1.25,0.625,92,101,79,-6,41,12,23,0,-4,-20,-35,0.074707,-0.180664,0.616699,29.0625,51.9375,67.0625,77,53,114
"16",-8,0,-2,-1,-2,-2,1,-4,-0.209961,0.102539,0.995117,-1.125,0.3125,0.3125,92,101,79,-17,-16,2,6,-21,24,-4,2,0.185059,-0.258789,0.71875,35.6875,23.5625,52.4375,77,55,114
"17",2,0,1,-1,1,0,-1,-3,-0.19873,0.0874023,1.00195,4.25,-0.0625,0.75,92,101,79,8,-17,-20,-16,2,-8,-12,-43,0.402832,-0.347656,0.825195,52.375,-7.0625,-8.5625,78,56,115
"18",-1,2,-1,-2,0,0,-3,-2,-0.212891,0.109375,0.986816,-2.3125,-0.375,0.125,92,101,79,7,15,2,3,-15,-10,11,36,0.618164,-0.393066,0.848145,38.0625,-26.6875,-40.875,79,55,114
"19",-3,-1,0,-1,1,0,-2,-3,-0.206055,0.0913086,1.00195,0.125,-1.0625,0.375,92,101,79,-1,15,3,-4,-13,-9,32,-19,0.856445,-0.382324,0.84375,2.625,-43.375,-69.8125,80,52,113
"20",1,-2,-2,-2,-3,0,0,-3,-0.210449,0.118652,0.997559,-0.4375,0.25,0.1875,92,101,79,3,27,-5,-3,10,2,-6,-14,1.07617,-0.396973,0.675293,-31.6875,-50.6875,-52.8125,80,47,111
"21",-4,-4,-2,-1,-3,-1,-2,-2,-0.206055,0.0922852,1.00342,1.5,0.375,-0.125,92,101,79,-9,-4,-4,-6,-10,-4,-25,8,1.15283,-0.400391,0.594238,-42.75,-43.625,-22.9375,79,44,111
"22",-1,1,-1,-1,-1,-1,0,-4,-0.211914,0.105957,0.989746,0.375,0.25,-0.125,92,101,79,-19,-3,2,-1,-11,0,-16,-4,0.885254,-0.29834,0.53418,-30.5625,-13,33.3125,78,42,112
"23",4,8,3,1,-1,0,-1,-1,-0.208008,0.0849609,1.00098,0.125,-1.4375,-0.1875,92,101,79,-15,-16,-4,-9,-1,15,34,3,0.708008,-0.247559,0.509277,-17.4375,3,57.9375,76,42,114
"24",-5,0,-1,0,0,-1,0,-1,-0.201172,0.107422,1.00488,2.3125,-1,0.25,92,101,79,52,0,2,13,-6,-5,-24,13,0.476074,-0.217285,0.546387,-1.875,32.3125,62.3125,75,45,115
"25",-1,-4,0,2,0,0,-1,-2,-0.204102,0.0927734,1.00049,-1,-0.5625,-0.375,92,101,79,-14,-10,-14,-2,-14,12,-39,-18,0.311523,-0.252441,0.571289,21.9375,43.1875,51.75,75,48,116
"26",2,-1,0,1,-3,0,-2,-3,-0.199219,0.102051,1.00537,2.3125,0,-0.125,92,101,79,-18,2,2,-1,11,-32,75,-2,0.30957,-0.263672,0.708496,40.0625,36.9375,20.25,76,52,116
"27",-5,-8,-4,-2,-1,-1,-3,0,-0.209961,0.0947266,0.995605,-2,0.25,-0.25,92,101,79,-24,0,-8,-15,-25,13,35,-14,0.401855,-0.264648,0.797363,46.6875,11.3125,-9.375,77,53,116
"28",3,1,-1,-2,-3,0,1,-1,-0.20166,0.102539,0.995605,0.6875,0.125,0.625,92,101,79,-36,14,2,1,-38,4,-33,6,0.614258,-0.356934,0.840332,30.5,-27.1875,-45.4375,79,52,115
"29",-18,-14,-2,0,0,-3,-2,-5,-0.199219,0.0942383,0.999023,-2.1875,0.0625,0.3125,92,101,79,-35,-14,-2,-7,2,-1,-55,-34,0.896484,-0.378418,0.812988,-1.625,-47.625,-67.9375,80,48,113
"30",0,3,-1,-1,-2,-1,-2,-1,-0.203613,0.0927734,0.992188,0.8125,-0.125,0.375,92,101,79,-33,4,0,-7,1,0,-9,-22,1.04199,-0.396973,0.726562,-24.25,-51.875,-60.75,80,45,112
"31",4,2,-2,0,-1,-2,-2,-1,-0.201172,0.0961914,1.00195,-0.5625,-0.125,0.0625,92,101,79,6,-3,-2,-15,-22,-5,-21,2,1.09277,-0.364746,0.562988,-45.4375,-46.75,-15.5,79,41,112
"32",-4,-2,-1,-2,-2,-2,-1,-4,-0.20459,0.105469,0.990723,0.6875,0.375,-0.375,92,101,79,17,5,3,5,40,35,39,25,0.999023,-0.322754,0.464355,-36.5,-32.25,14.9375,78,39,113
"33",-3,2,-2,-2,-2,0,-3,-5,-0.201172,0.0917969,0.998047,0.25,0,-0.8125,92,101,79,43,3,-7,-9,12,17,1,-7,0.786621,-0.279785,0.421875,-0.5625,3.4375,41.8125,75,39,114
"34",3,1,0,0,-1,0,0,-1,-0.201172,0.101562,0.997559,1.8125,0.3125,-0.625,92,101,79,27,6,0,-1,6,-17,58,13,0.65332,-0.220215,0.489746,9.8125,32.8125,39.0625,75,40,115
"35",1,-6,-2,-4,-3,0,-2,7,-0.200195,0.0869141,1.00439,1.0625,0.1875,-0.5,92,101,79,15,-14,-7,1,-31,-12,5,12,0.40918,-0.140137,0.606445,23.8125,49.5,51.875,76,44,116
"36",0,2,-1,-2,-1,-1,-1,-2,-0.202148,0.103516,0.997559,0.75,0.3125,-0.25,92,101,79,11,-9,-7,4,-12,6,18,-4,0.311523,-0.165527,0.695801,35.1875,41.9375,53,76,48,116
"37",-1,-1,-2,-1,-3,-3,-2,-1,-0.205078,0.0859375,0.983887,0,-0.1875,0,92,101,79,-16,-20,-10,-13,1,-2,-6,-3,0.491699,-0.279297,0.784668,35.125,-4.625,32.5,77,50,117
"38",1,6,3,0,-1,-1,-2,-3,-0.210938,0.09375,0.995117,2.1875,-0.5625,0.3125,92,101,79,6,-18,-8,-2,0,-7,18,-4,0.599121,-0.427246,0.752441,17.875,-24.5,-21.625,77,50,118
"39",1,-1,0,-2,-3,-1,-1,-1,-0.198242,0.0913086,1.00098,-1.625,-1,0.5625,92,101,79,7,3,4,3,-7,-4,2,-10,0.677734,-0.441895,0.737305,-5.5625,-11.1875,-54.25,78,48,117
"40",10,5,0,-2,-1,1,-2,-1,-0.194336,0.0996094,1.0127,1.75,0.375,0.5,92,101,79,-16,-3,-2,1,5,5,3,-36,0.692871,-0.4375,0.671387,-26.5625,43.125,-74.875,79,48,114
"41",0,-15,-6,-4,-4,-3,0,12,-0.201172,0.0981445,0.987305,-0.875,0.5,-0.1875,92,101,79,-1,-1,-3,-1,3,2,-2,-13,0.735352,-0.380859,0.661133,-30.625,78.875,-76.25,79,49,112
"42",-4,-1,-2,-2,-2,-2,-1,-2,-0.204102,0.0961914,0.999023,2.625,0,0.25,92,101,79,1,-2,-1,-1,-4,-8,-3,19,0.704102,-0.317383,0.634277,-40.5625,110.5,-120.5,81,53,107
"43",12,11,1,-1,0,0,0,-1,-0.211426,0.102539,0.992188,-1.5625,-0.3125,-0.125,92,101,79,-5,-2,0,-2,-13,-16,-3,7,0.650391,-0.291016,0.689453,-38.125,122.375,-127.75,83,56,103
"44",-13,-10,-4,-1,0,0,0,3,-0.199707,0.0966797,1.00732,2.4375,0.25,0.375,92,101,79,3,2,4,2,11,0,-4,3,0.538086,-0.181152,0.78125,-25.75,151.625,-128.25,84,62,98
"45",-2,2,-3,-1,-2,-1,-1,-2,-0.209473,0.106934,0.992188,-1.8125,0.625,-0.1875,92,101,79,1,0,-3,-3,0,-4,-3,-2,0.44043,-0.0898438,0.871094,-40.0625,168.25,-125,85,68,94
"46",1,3,1,2,1,0,0,-2,-0.200195,0.0957031,1.00293,2.0625,-0.375,0.125,92,101,79,0,-2,-3,-6,-9,23,9,2,0.233398,-0.0991211,1.01709,-75.125,172.688,-123.375,85,77,90
"47",-5,-4,-2,-3,-3,-2,-1,0,-0.206055,0.111816,1.00049,-0.4375,0,-0.1875,92,101,79,1,2,6,9,40,-14,-5,-2,-0.0180664,-0.163574,1.11377,-17,159.875,-95.4375,84,86,85
"48",-34,-24,-8,-3,-4,-3,-2,2,-0.203613,0.0947266,1.00684,1.5625,0.6875,0,92,101,79,0,4,2,6,-5,-13,1,2,-0.263184,-0.0576172,1.04346,-6.75,124.438,-91.5625,84,90,83
"49",2,-3,-1,0,-2,0,1,1,-0.20752,0.108887,0.996094,1.375,0.75,-0.8125,92,101,79,1,-1,1,9,45,17,4,2,-0.192871,-0.0991211,1.05518,-8.1875,99.3125,-66.875,83,94,81
"50",13,5,-1,-2,1,-1,0,0,-0.198242,0.0947266,0.994141,1.375,0.25,-0.8125,92,101,78,2,2,7,10,-21,9,-4,1,-0.363281,-0.0839844,0.950684,15.75,65.625,-47.5625,84,99,79
