"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.418457","X0.519531","X1.00342","X.136.188","X.96.625","X23.625","X102","X100","X90","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.183105","X.0.421875","X0.918945","X.1.125","X.0.875","X1.5","X77","X100","X76"
"1",0,0,0,0,0,0,0,0,-0.0478516,0.648438,1.32324,94.375,-150.125,75.1875,102,92,89,0,0,0,0,0,0,0,0,-0.198242,-0.45166,0.934082,-0.6875,-1.0625,2.8125,77,100,76
"2",0,0,0,0,0,0,0,0,-0.0258789,0.864258,1.125,7.1875,-158.562,60.3125,103,85,89,0,0,0,0,0,0,0,0,-0.199707,-0.435547,0.925781,0.4375,1.5,6.8125,77,100,76
"3",26,22,13,10,9,6,58,7,0.288086,0.182129,1.02588,21.1875,-131.812,35.1875,102,73,88,2,-2,-4,-14,-45,-25,-1,-1,-0.233887,-0.621094,0.932617,16.375,19.1875,6.125,77,101,76
"4",10,-23,-16,-10,-5,-28,-64,-9,0.317871,0.266113,0.910645,52.25,-124.062,24.125,103,68,87,-1,-2,-7,4,-14,-9,-1,-4,-0.374512,-0.39209,0.978516,54.25,-4.0625,-3.5,78,102,76
"5",-24,-16,-8,-11,-8,5,-12,-8,0.402344,-0.0395508,0.84668,42.5,-151.125,-16.4375,105,61,85,-3,2,4,7,1,-2,1,-2,-0.316406,-0.705078,1.13818,24.4375,-91.0625,-20,78,99,76
"6",6,20,20,3,4,15,29,-1,0.629395,0.402344,0.54248,106.25,-136.312,-14.6875,110,54,82,-1,-3,-1,2,-8,-1,4,1,-0.149414,-0.415527,1.32422,11.8125,-154.562,-14.8125,79,91,77
"7",37,-12,-19,-7,-4,32,106,21,0.602539,0.263184,0.463867,69.625,-131.062,-30.1875,113,51,79,12,3,2,-1,15,-1,16,18,0.0302734,-0.515625,1.30322,-66.8125,-163.812,-18.375,78,85,78
"8",4,15,14,0,-3,-24,19,3,0.662109,0.452148,0.308594,83.75,-115.688,-25.125,117,49,76,-4,2,0,5,-18,-4,3,-9,0.268555,-0.475586,1.13232,-116.25,-165.438,-6.1875,75,75,80
"9",-29,-18,-14,-5,-1,2,-11,-26,0.609375,0.549805,0.220703,57.25,-98.3125,-25.875,121,47,72,-14,-10,0,-4,1,1,-16,-6,0.392578,-0.463379,0.979492,-149.375,-159.75,-4.75,72,70,82
"10",-17,-1,-92,-1,-16,-95,-35,-16,0.502441,0.486328,0.0776367,56.25,-75.75,-21.875,126,46,68,-1,-5,-4,-2,-4,-5,-17,-3,0.437012,-0.480957,0.776367,-153.438,-135.75,-1.625,66,63,85
"11",-21,13,-21,-39,-31,6,17,-10,0.442871,0.554199,0.0693359,99.75,-70.625,1.125,129,45,66,-3,8,-2,-2,-7,-10,3,-5,0.478027,-0.512207,0.589844,-163.062,-124.875,1.9375,62,60,87
"12",13,27,19,26,20,22,-9,4,0.577148,0.901855,-0.114258,84.3125,-17.9375,8.8125,132,45,65,-3,-13,-2,-1,1,-3,-15,1,0.521484,-0.479492,0.343262,-148.688,-103.125,8.4375,55,57,90
"13",42,-4,-13,14,6,-31,-66,12,0.572266,0.627441,-0.0317383,-29.8125,-23.75,7.625,133,45,64,-5,-9,-1,-1,-3,12,-2,-4,0.505859,-0.578125,0.0957031,-138.312,-91.0625,9.1875,49,56,94
"14",42,-3,0,-1,1,2,89,15,0.617676,0.814453,-0.0478516,29.4375,-0.5625,11.1875,134,44,64,4,-9,-8,-5,-34,-8,10,12,0.464355,-0.625,-0.0131836,-123.188,-68.9375,9.625,46,56,95
"15",-29,-17,7,15,12,25,19,8,0.644043,0.833984,-0.050293,-33.1875,24.5625,19.625,133,44,64,-2,-6,3,2,4,8,-11,3,0.410645,-0.630371,-0.148926,-80.3125,-46.6875,6.25,42,56,97
"16",-15,17,-6,4,3,-33,-45,-14,0.641113,0.545898,0.186523,-136.125,34.9375,8.0625,129,44,66,-9,-2,0,-3,17,10,-4,-12,0.405762,-0.707031,-0.195801,-38.125,-29.625,1.5,40,57,98
"17",-10,-54,-37,-8,-7,5,22,-7,0.803711,0.443848,0.263184,-20,17.25,28.125,127,43,67,21,10,-2,2,-6,-5,-15,-2,0.213867,-0.802734,-0.150391,29.125,-3.1875,-7.5,40,58,99
"18",-7,-2,2,-13,0,14,7,6,0.986816,0.587891,0.206055,11.875,29.5,-15.1875,127,43,68,14,6,-3,-2,6,-1,15,-1,0.334961,-0.727051,-0.227051,97.0625,-34.875,-22.875,41,57,100
"19",-22,-7,-7,22,15,15,-12,2,0.881836,0.499512,0.230957,5.125,3.875,-25.375,127,43,68,-2,4,9,14,-19,-2,-2,-6,0.521484,-0.688965,-0.228027,-9.3125,-25.9375,-20.0625,41,56,101
"20",21,-15,-11,20,-4,-29,-4,7,0.851074,0.504883,0.224609,26.5625,-24.6875,-24.75,127,44,68,13,-1,-4,-2,-2,0,-2,-5,0.522949,-0.84082,-0.133789,20.6875,-3.25,-20.8125,41,55,101
"21",-41,15,26,38,19,-1,-14,-8,0.79834,0.566895,0.222656,30.375,-55.375,-30.375,129,44,66,1,8,1,-3,14,4,-6,4,0.51123,-0.634277,-0.132812,-22.875,21.125,-23,41,54,101
"22",42,57,47,6,6,-69,-9,-31,0.720703,0.696289,0.0981445,34.375,-53.125,-52.0625,131,46,64,-5,-20,-10,-2,-2,-34,-3,-18,0.758301,-0.769043,-0.0981445,-76.875,27.25,-26.875,40,51,100
"23",-42,-1,20,-1,15,9,-18,-33,0.558105,1.04248,-0.0688477,59.8125,-6.75,-7.25,135,48,63,-5,27,5,-2,-7,-8,-18,-19,0.873535,-0.84082,-0.102539,-96.4375,29.75,-4.9375,38,50,99
"24",-25,2,-13,23,29,38,-20,-1,0.275391,0.844727,-0.0151367,-11.1875,-13.0625,18.5,135,48,62,-3,-2,2,1,20,-2,-2,-7,0.865234,-0.836914,-0.11084,-28.6875,9.25,8.9375,38,50,99
"25",-12,2,5,4,9,37,87,1,0.379883,0.621582,0.0332031,-10.4375,-17.5625,14,134,48,62,-8,-17,-2,-3,-3,13,5,-2,0.862305,-0.680664,-0.170898,-22.4375,-8.5625,18.3125,38,50,99
"26",-9,17,21,7,-6,-19,-5,2,0.546387,0.828613,-0.0444336,-75.1875,-13.5625,17.5625,134,48,61,-4,-5,-1,-1,7,14,-7,-6,0.744629,-0.73877,-0.19043,6.875,-27.5,32.25,37,52,99
"27",20,-6,-7,-13,-10,-20,-20,15,0.565918,0.494629,-0.0615234,-75.5,17.3125,49.25,131,46,62,5,-2,0,-2,0,16,19,1,0.591309,-0.705078,-0.189453,14.6875,-38.25,30.625,37,53,100
"28",-22,-10,-8,-6,-4,-4,-2,-6,0.583008,0.454102,0.0810547,-80.4375,41.125,21.125,129,45,63,-1,-3,-5,2,7,9,0,2,0.452148,-0.942383,-0.219238,117.812,-23.625,22.4375,39,55,101
"29",2,11,7,-3,-2,0,-10,-6,0.590332,0.455078,0.191895,-73.75,56.5,27.875,125,44,65,-17,17,9,8,-21,-27,29,-10,0.379883,-0.891602,-0.237305,117.25,-35.0625,-34.375,41,55,102
"30",1,0,2,0,-1,1,4,-2,0.681152,0.484863,0.335449,-84.1875,85.25,10.5625,120,44,69,2,-13,-6,-5,3,-20,-9,-10,0.332031,-0.455078,-0.170898,107.5,-3.5,4.6875,42,54,103
"31",-8,-22,-9,-7,-6,-6,-9,-1,0.666016,0.461426,0.389648,-69.625,103.312,14.125,117,46,71,-9,-6,-8,-8,-10,1,-5,-5,0.441406,-0.880859,-0.0976562,-43.4375,-25.625,-46.0625,42,53,104
"32",1,-1,-4,4,-1,1,-3,-4,0.716797,0.504883,0.552246,-96.1875,115.75,26.625,112,49,75,0,-1,-2,0,-1,6,-1,9,0.482422,-0.515137,-0.179199,80.3125,9.9375,-17.3125,44,52,104
"33",-8,-14,0,1,0,-2,-3,-7,0.715332,0.472656,0.733887,-89.875,136.938,11.5,108,53,78,0,-2,1,1,3,-2,7,1,0.495605,-0.681641,-0.0180664,63.4375,30.875,-23.9375,45,51,103
"34",29,13,-1,-4,-4,1,0,9,0.571289,0.416992,0.855957,-58.125,136.562,20.25,104,59,81,0,0,2,0,5,-6,-1,-2,0.496582,-0.55127,-0.0654297,110.188,41.375,-15.625,48,50,102
"35",0,7,-1,3,2,-3,2,-3,0.662109,0.48584,1.03711,-30.5,159.125,5.875,103,64,83,2,-1,-1,-1,1,1,-9,-6,0.550293,-0.473633,0.227539,87.625,49.25,-34.25,51,49,101
"36",-7,-12,-7,-3,-1,-1,-1,-1,0.287598,0.393555,1.00195,-15.0625,160.125,-2.4375,101,73,85,0,0,-2,-1,2,10,3,0,0.648438,-0.380371,0.350586,128.125,94.8125,-34.125,60,49,95
"37",19,-22,6,-5,-8,-4,-3,10,0.217773,0.436035,1.00977,35.8125,164.25,-3.4375,102,79,86,1,5,4,3,-9,-5,-6,-1,0.632324,-0.559082,0.579102,117.75,126,-41.625,66,51,90
"38",5,-9,6,0,-5,-4,-3,1,-0.0415039,0.506836,0.956055,44.0625,146.875,-13.5,102,85,87,-1,-1,-1,-2,0,-3,6,0,0.759766,-0.422363,0.833008,113.375,157.438,-42.625,73,56,86
"39",3,1,-5,2,4,0,1,-2,-0.248535,0.502441,0.911621,24.5625,107.562,-11.4375,103,92,88,0,2,-2,-3,10,3,6,0,0.555664,-0.443848,0.914062,72.1875,172.75,-19.8125,76,62,83
"40",5,6,-5,0,2,0,1,2,-0.281738,0.46875,0.927734,-3.6875,57.0625,-11.375,103,97,89,-3,-2,-3,-4,16,7,4,0,0.41748,-0.416504,1.09668,46,165.812,-15.6875,79,70,80
"41",-2,0,1,1,4,-1,1,-2,-0.253418,0.797852,1.02637,-0.125,40.6875,3.75,103,98,90,-2,-5,-1,-5,27,16,3,-1,0.205566,-0.321777,1.14844,1.6875,159.375,1.6875,79,76,79
"42",0,-1,-4,0,-2,-2,6,4,-0.33252,0.341309,0.869629,-42.8125,27.6875,-5.625,103,100,90,-1,-1,2,0,-17,10,4,-2,-0.097168,-0.365234,1.10791,-13.8125,126.812,25.125,79,84,78
"43",-1,-7,-2,0,0,0,4,2,-0.217773,0.424316,0.963379,7.5,2.8125,5.25,102,100,90,2,1,0,3,21,5,-2,4,-0.158691,-0.419434,1.0752,-33.5,101.875,39.125,79,89,78
"44",-2,1,1,-1,-1,2,19,2,-0.202637,0.461426,0.911133,9,-0.25,1.5625,103,100,90,0,-3,-3,-4,-29,-19,11,0,-0.245117,-0.462402,1.02588,-16.375,65.6875,36.375,78,95,78
"45",-1,0,-2,-1,0,-3,-3,-8,-0.174805,0.428711,0.895996,4.1875,-0.8125,-1,103,100,90,1,2,5,2,-29,-14,11,3,-0.154785,-0.509277,1.08496,-10.3125,43,34.6875,78,99,79
"46",-1,-2,-1,-2,-3,-2,-18,-9,-0.175781,0.43457,0.90332,2.0625,5.25,1.5,103,100,90,-1,-1,-2,-3,15,9,4,4,-0.108398,-0.458008,1.11816,-33.5625,48.5,35.875,77,100,79
"47",-2,-2,-4,-1,-1,-1,4,0,-0.185059,0.427246,0.910645,3.3125,7.625,0.8125,103,100,90,0,-1,1,-5,-9,-3,-2,0,-0.243652,-0.441406,0.883789,-13.875,38.9375,8.1875,76,102,79
"48",0,1,1,0,0,0,2,-1,-0.1875,0.438965,0.886719,6.25,9.375,0.1875,103,101,90,0,-2,2,0,-6,-2,-2,-2,-0.249512,-0.445801,0.914062,-4.375,40.1875,6.6875,76,105,78
"49",5,-2,-1,0,0,-1,1,-2,-0.191406,0.458984,0.89209,5.6875,10,-1.625,103,101,90,-1,0,3,-1,4,-3,0,36,-0.425781,-0.495605,1.02148,-36.375,-5.5,-13.125,76,105,78
"50",-3,1,-1,-2,0,-1,1,-2,-0.238281,0.46582,0.909668,-0.125,5.875,-5.1875,103,102,90,1,0,-2,-2,-8,2,-4,-6,-0.234375,-0.495605,0.842773,19.25,0.0625,4.8125,76,105,78
