"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.40332","X0.456055","X1.07275","X18.0625","X9.3125","X.34.5625","X94","X107","X68","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.303711","X.0.1875","X0.942871","X0.1875","X0.4375","X2.8125","X84","X105","X83"
"1",0,0,0,0,0,0,0,0,-0.423828,0.170898,1.02002,-16,-17.875,-26.0625,94,107,68,0,0,0,0,0,0,0,0,-0.307617,-0.209961,0.986816,-14,0.625,2.875,84,105,83
"2",0,0,0,0,0,0,0,0,-0.684082,-0.0136719,0.785156,16.5,-57.8125,-36,94,106,67,0,0,0,0,0,0,0,0,-0.418945,-0.286133,0.940918,17,12.25,21.4375,84,106,83
"3",-7,0,12,39,50,7,-2,8,-0.320801,0.019043,1.271,0.3125,-171.25,-57.3125,93,97,64,-106,-31,-9,-16,-22,-4,-56,-60,-0.487305,-0.12793,0.858398,28.625,-6.375,34.75,85,107,84
"4",-6,0,1,4,11,0,-20,-27,-0.0078125,0.0341797,1.25146,-25.25,-226.438,-68.5625,93,88,63,-128,-38,-34,-30,-29,-3,-13,-42,-0.605469,0.0419922,0.758789,42.5,-52.0625,51.125,86,107,85
"5",1,1,4,6,-3,-1,7,-4,0.582031,-0.0151367,1.07861,-30.5625,-245.188,-93.5625,92,74,59,-20,-9,-3,-10,-1,-4,-102,-23,-0.243652,0.0693359,1.04492,73.9375,-132.438,38.6875,89,101,87
"6",10,19,19,6,5,6,6,7,0.603027,0.0249023,0.904785,-13.375,-227.062,-95.9375,93,65,57,7,-17,-9,-10,17,7,-37,-26,0.0629883,0.132812,1.22559,44.75,-147.312,56.625,91,92,89
"7",-1,19,11,2,6,7,2,-11,0.612793,0.151367,0.699219,13.3125,-174.188,-109.5,95,55,52,82,-4,-25,-28,3,-14,-33,16,0.208008,0.0395508,1.19873,30.25,-165.438,54.1875,91,85,89
"8",6,1,-1,-10,-9,-6,15,13,0.57959,0.174805,0.566895,6.625,-104.125,-110.812,99,49,47,-86,-36,-22,-15,-14,-30,46,-73,0.37207,-0.0126953,1.14795,47.75,-162.875,65.625,92,79,90
"9",-9,-13,-1,0,-4,-21,-26,-7,0.504883,0.224121,0.512207,19.3125,-69.6875,-98.75,101,47,44,5,4,17,2,2,15,-44,5,0.504883,0.0830078,1.04053,-6.4375,-146.562,90.75,92,69,93
"10",37,-2,7,6,15,7,-44,-2,0.34375,0.257812,0.564941,29.8125,7.6875,-74,104,49,41,-41,-16,-4,-4,-3,-6,-8,-2,0.598633,-0.0302734,0.852539,-6.1875,-139.938,86.0625,90,60,95
"11",-8,6,17,35,36,22,3,-1,0.321289,0.614258,0.575684,-0.5,122.312,-163.938,105,55,39,-20,9,1,-4,-1,-10,-58,-20,0.577148,-0.107422,0.779785,-23.3125,-126.812,69.6875,89,54,97
"12",-23,-13,-26,1,-3,-22,-28,-15,0.279785,-0.0883789,0.690918,55.4375,227.25,-171.188,107,72,37,-4,-10,8,11,10,-20,4,-6,0.583496,-0.23291,0.700195,-10.1875,-88.5625,45.625,87,48,99
"13",-3,-7,-32,3,-25,-6,-12,1,0.291504,1.24951,0.601562,28.375,254.188,-157.188,108,85,37,46,10,7,3,23,35,27,10,0.587402,-0.158691,0.711914,-4.875,-65.9375,29.25,86,46,101
"14",-3,10,-4,-15,1,-12,2,-2,-0.100098,0.836426,1.16846,5,125.938,-54.3125,108,97,38,32,45,11,9,6,-17,-23,-11,0.581543,-0.103516,0.663086,7.5625,-65,16.125,85,43,102
"15",0,-8,-13,12,-16,3,6,-3,-0.0595703,0.827637,1.02686,33.25,-66.875,74.5,109,95,39,51,9,-5,-9,-11,12,19,26,0.462402,-0.408203,0.719727,17.875,-42.375,-23.5,85,41,102
"16",14,6,12,-3,-5,8,-5,6,0.0732422,0.722656,0.914551,46.6875,-140.562,124.688,109,88,39,30,21,0,0,-2,-8,-11,-9,0.694336,-0.16748,0.385254,1.25,-62.25,14.0625,83,37,103
"17",-15,-5,-21,-2,10,13,-10,-10,0.250488,0.666016,0.692383,48.5,-182.625,150.25,110,79,39,-9,-9,-3,-13,-25,-7,-48,4,0.948242,-0.188477,0.429688,-70.1875,-32.1875,27.5625,81,35,104
"18",-4,4,4,1,3,14,-14,-6,0.468262,0.46582,0.437012,23,-210.125,143,112,64,38,-48,10,6,12,6,-5,42,1,0.880859,-0.0756836,0.357422,17.8125,2.625,-1.5,81,34,105
"19",11,0,-10,-5,-2,9,-8,13,0.503906,0.475586,0.322754,-10,-145.188,130.25,112,50,37,44,7,-9,-6,11,7,-9,7,0.869141,-0.138672,0.41748,1.625,8.375,-8.25,82,34,104
"20",6,23,0,1,12,11,15,-1,0.437012,0.433105,0.447266,-36.5625,-53.6875,69.5,112,46,37,1,-1,3,-1,2,-13,21,18,0.894043,-0.222168,0.481934,16.625,16.25,-16.9375,82,34,104
"21",-20,-19,4,10,9,34,25,21,0.508789,0.345703,0.554688,-21.5,105.188,-58.9375,110,49,38,47,-9,1,1,2,12,10,4,0.855957,-0.0888672,0.578125,12.0625,8,-8.5,84,34,103
"22",42,45,11,35,25,-4,0,41,0.444336,0.370117,0.484375,-30.625,248.625,-191.188,109,64,39,44,9,0,-1,-10,6,10,-25,0.813477,-0.137207,0.634277,6.5625,-4.75,1.0625,84,35,103
"23",-16,8,20,54,11,-5,-11,-3,0.264648,0.483887,0.674316,-37.5,281.188,-218.312,108,78,39,-19,8,5,2,-9,1,-8,-5,0.806641,-0.215332,0.651855,-3.9375,1.75,-4.125,84,35,103
"24",-2,-10,-10,-3,7,7,-7,-8,-0.375488,0.61084,1.13721,-55.75,195.625,-149.062,106,97,39,-31,-3,-3,-6,-18,-5,27,3,0.723633,-0.220215,0.666992,-5.25,15.875,-6.4375,84,36,103
"25",1,-15,-36,-3,-8,-13,-5,-2,-0.379395,0.899414,1.25879,-18.0625,41.9375,-28.25,106,101,39,-9,-14,-3,-6,-2,6,38,-5,0.663086,-0.0927734,0.627441,-7.25,7.9375,-1.3125,84,37,102
"26",-13,-3,0,1,2,7,2,4,-0.0996094,0.727539,0.958984,12.3125,-121.938,97.375,106,95,39,-12,12,9,9,5,16,-8,11,0.69873,-0.0209961,0.535645,-9.875,-2.5,9.75,83,37,102
"27",12,8,6,-6,-2,5,-3,-2,0.0532227,0.566406,0.741699,20.375,-146.375,120.312,106,87,39,-14,13,1,-1,-10,-18,2,20,0.748535,0.0151367,0.439453,-4.875,-0.4375,8,83,37,103
"28",-16,6,9,8,5,8,1,-8,0.306152,0.369141,0.456543,-15.0625,-132.938,113.312,107,76,40,-43,-6,1,-2,-12,-10,7,-6,0.819336,-0.118652,0.472168,10.6875,13.75,-4.4375,83,37,103
"29",15,3,-7,5,0,1,-3,-3,0.33252,0.469238,0.455078,-34.625,-83.375,115.938,105,67,41,-4,-11,-4,-4,6,-2,9,25,0.815918,-0.0800781,0.497559,9.1875,17.5625,-5.375,83,37,103
"30",-10,10,4,2,4,3,3,-6,0.437988,0.367188,0.527832,-70.1875,-24.9375,137.562,103,63,43,9,-8,0,1,2,6,6,-5,0.822266,-0.12207,0.541992,14.4375,23.3125,-11.5625,84,38,102
"31",-26,9,1,3,5,2,2,-2,0.461914,0.236816,0.663086,-74.6875,31.25,166,100,61,47,0,0,-1,4,-4,-20,-17,-7,0.706543,-0.193848,0.512695,19.8125,25.875,-18.5,85,39,101
"32",-3,0,-2,5,3,3,2,-6,0.67334,0.223633,0.880371,-45.3125,131.438,167.188,96,63,53,0,-3,-8,-9,47,19,1,8,0.741699,-0.165039,0.535156,20.8125,37.5625,-43.9375,86,40,100
"33",1,3,2,-2,2,-2,0,-2,0.326172,0.217773,1.07227,-25.875,214.438,129.875,93,74,59,-2,-6,-4,1,-5,-5,-4,-4,0.728027,-0.117188,0.605469,-3.625,102.75,-99.3125,89,44,96
"34",29,30,-14,6,2,4,3,6,0.252441,0.290527,1.07861,3.9375,231.375,99.25,92,82,61,-1,-3,-1,-4,14,6,1,0,0.723633,-0.126465,0.740723,16.8125,149.812,-104.812,91,50,94
"35",2,15,15,-18,-17,-18,-5,6,-0.27832,0.0864258,1.12695,24.5625,173.438,76.875,92,94,65,0,0,6,7,0,26,-7,0,0.558105,0.00830078,0.885254,11.25,202.688,-116.188,93,62,90
"36",10,-27,-10,-6,-6,1,-3,-4,-0.376465,0.0126953,1.10986,-22.125,113.375,55.8125,92,102,67,0,-3,2,7,3,19,11,4,0.453613,0.268066,0.983887,-16.875,201.5,-105.25,94,70,89
"37",-30,-9,10,-2,-1,2,-1,-13,-0.44043,0.0878906,1.01953,2,65.5,41.1875,92,105,68,0,3,-2,2,1,-10,-3,1,0.0932617,0.171387,1.03809,-93.1875,198.938,-71.9375,92,83,87
"38",-5,17,7,8,5,0,-2,-2,-0.383789,0.138184,0.944824,-49.75,48.75,21.9375,92,107,68,1,4,2,-10,-31,-21,-2,-4,-0.223145,0.117188,1.06982,-77,160.312,-53.375,90,90,86
"39",22,15,23,4,-1,-2,2,12,-0.168457,0.0683594,0.907227,-9.8125,-5.625,-7.8125,91,108,69,-1,-3,-4,-6,1,5,-2,1,-0.282715,0.100586,1.13232,-8.6875,77.75,-24.5625,89,97,85
"40",8,3,2,-4,-2,2,1,13,-0.256836,-0.0107422,0.992188,-34.8125,15.875,0.25,90,108,69,-1,-6,-7,1,4,0,3,0,-0.263672,0.043457,1.07129,1.4375,32.375,-14.4375,90,100,85
"41",-10,8,10,1,0,-5,0,-1,-0.338867,0.13916,0.97168,48.0625,13.4375,4.6875,92,109,69,0,1,2,2,8,-2,1,-1,-0.272461,0.10498,1.01221,10.25,20.0625,-14.4375,90,101,84
"42",-1,1,-6,-1,-2,-3,-6,-2,-0.290527,0.0717773,0.98584,22.75,7.25,-0.1875,92,109,69,-2,-3,-1,9,-4,-10,0,0,-0.281738,0.0136719,0.921387,-4.375,18.875,-17.25,90,102,84
"43",-3,13,15,8,3,-8,-2,0,-0.324707,0.121582,0.944336,35.0625,3.375,0.1875,93,109,69,0,-1,0,-6,-7,-4,-5,0,-0.630371,0.108398,1.11328,6.6875,-13.75,-31.875,90,103,83
"44",0,-4,-10,-1,2,-3,0,-2,-0.299805,0.103027,0.968262,21.75,-1.8125,2.5,94,109,69,-1,-2,-1,-2,-10,0,1,-2,-0.171387,0.0224609,1.10791,39.125,5,-3.625,91,103,83
"45",-3,-7,-15,-5,-4,5,-1,6,-0.328613,0.192383,0.941895,3.1875,-3.875,5,94,109,69,-1,1,5,2,5,13,-1,1,-0.287598,0.0737305,1.02783,-19.4375,8.3125,-15.125,91,104,83
"46",-2,10,11,-2,-3,-1,-1,-3,-0.305176,0.090332,0.990723,-26.5,-4.5625,3.25,93,108,69,-1,-1,-3,-4,9,-1,-3,-2,-0.281738,-0.00195312,0.988281,-2.875,7.625,-1.125,90,104,83
"47",6,-3,-2,2,0,5,3,-1,-0.29834,0.104492,1.00195,-1.6875,-3.0625,3.125,93,108,69,-1,-1,-2,-1,3,3,-1,-1,-0.234863,0.0415039,0.962402,-18.3125,8.1875,-3.375,90,104,83
"48",-1,-3,14,-5,-4,-4,-2,-2,-0.307617,0.154785,0.972656,3.3125,-0.1875,-0.5,93,108,69,-2,-1,-2,-1,-3,-6,-4,0,-0.217285,-0.0385742,1.00146,-13.75,-2.375,0.8125,89,104,83
"49",2,0,-4,0,1,6,2,0,-0.313477,0.117676,0.959961,5.8125,1.125,-0.5625,93,108,69,0,-1,-2,-1,0,2,-1,1,-0.225586,-0.0078125,1.0083,-2.375,-3.9375,-0.4375,89,104,83
"50",-2,0,10,-1,0,-17,-3,-2,-0.31543,0.134277,0.944824,0.1875,-0.8125,-1.0625,93,108,69,0,0,0,-2,-5,-3,-3,0,-0.247559,-0.0166016,1.01904,-3.625,-1.1875,0.6875,89,104,83
