"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.425781","X0.0991211","X1.02979","X.29","X.186.938","X7.125","X83","X67","X73","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.173828","X.0.114746","X1.02295","X6.375","X.6.1875","X.0.625","X86","X97","X81"
"1",0,0,0,0,0,0,0,0,0.384277,-0.109375,0.874512,-21.875,-180.062,1.625,82,60,74,0,0,0,0,0,0,0,0,-0.124023,-0.065918,1.03857,2.875,-2.875,4.6875,86,97,81
"2",0,0,0,0,0,0,0,0,0.438477,-0.205078,0.784668,-7.375,-180,1.5,82,53,75,0,0,0,0,0,0,0,0,-0.0961914,-0.125,1.04248,4.3125,-2.25,1,86,97,81
"3",-21,-95,-26,13,10,-2,26,-10,0.5625,-0.237793,0.619629,34.625,-202.438,58.5,80,43,79,2,3,11,11,-19,-10,-13,-6,-0.180176,-0.216797,1.03467,-2.125,7.9375,5.25,87,97,82
"4",-63,-82,-42,-17,-4,8,41,-35,0.708496,-0.236816,0.437988,31.3125,-206.562,93.625,77,37,84,-1,1,-4,-5,-25,-8,30,5,-0.196777,-0.1875,1.01758,3.4375,13.9375,16.0625,86,97,82
"5",-6,-27,-53,-12,2,-4,-60,-36,0.89502,-0.356934,0.14502,53.9375,-146.875,124.625,66,31,99,-2,-1,-3,-2,-8,-3,-16,0,-0.265137,-0.078125,1,18.625,9.9375,24.375,87,98,82
"6",-9,4,10,5,1,-3,-3,65,0.84668,-0.547363,0.0537109,28.9375,-85.9375,92.875,62,31,105,3,4,4,4,2,3,-6,22,-0.455078,0.0205078,1.01025,74,-60.8125,46.5625,88,97,84
"7",3,-4,-2,0,2,2,10,8,0.806641,-0.595215,0.103516,2.5,6.5,13.625,59,33,108,2,-5,-7,0,-2,-4,-9,17,-0.208496,0.0986328,0.995605,94.5625,-91.1875,46.9375,89,96,84
"8",8,-11,-19,-6,-3,-3,0,32,0.818359,-0.606934,0.161621,-28.625,59.1875,-40.3125,60,33,106,-18,-1,-5,-12,17,-11,0,38,0.141113,0.222168,1.06592,69.1875,-118.312,51.1875,92,89,86
"9",15,4,24,-4,-1,2,-7,35,0.92627,-0.480469,0.282715,-40.625,132.188,-117.062,65,32,98,3,-14,-22,-28,-69,-51,-8,76,0.353027,0.00634766,1.16309,38.5625,-146.875,43.625,93,80,87
"10",-6,1,-19,-7,-5,-1,-4,-18,0.870605,-0.290039,0.35498,-54.4375,149.375,-131.688,73,33,87,-12,-7,-6,-2,56,1,-9,-8,0.424805,0.134277,1.0625,51.6875,-144.188,48.5625,94,74,87
"11",51,-4,-8,5,7,-4,3,-18,0.769043,-0.355957,0.60498,-45.0625,118.562,-102.875,77,36,82,3,-1,4,1,-44,21,-19,4,0.402832,-0.0136719,1.03711,-18.375,-148.125,38.3125,94,65,88
"12",14,-15,-8,-4,-13,-11,-21,-44,0.634766,-0.100586,0.78125,15,45.8125,-52.5625,79,38,79,-9,7,21,28,-17,11,-2,-99,0.354492,0.00390625,0.899414,1.875,-147.75,28.375,93,59,88
"13",-21,-11,15,-6,-6,-8,-9,53,0.648438,0.090332,0.88916,-12.5,-48.6875,34.1875,80,37,78,-5,-5,-6,-4,-59,-46,-37,-79,0.558105,-0.0151367,0.782715,-6.75,-170.312,-14.3125,93,49,87
"14",-13,2,-14,1,9,9,39,-24,0.733887,-0.0361328,0.854004,15.5625,-88.25,75.8125,78,36,81,37,4,-2,2,-53,7,26,-42,0.584961,0.106445,0.646484,-20.4375,-182.938,-47.9375,94,43,86
"15",18,-31,-22,-8,-3,2,69,-3,0.775879,-0.274902,0.540039,39.5,-118.875,120.938,74,33,88,33,-16,-5,-3,-67,-12,36,59,0.805176,0.164551,0.401855,-43.5625,-191.25,-109.438,98,33,79
"16",-49,18,68,-7,-1,7,-1,-76,0.811523,-0.600098,0.219238,49.9375,-158.562,148.812,66,32,99,5,12,-6,-3,-13,3,2,-69,0.887207,0.263672,0.184082,-48.75,-126.562,-127.938,106,27,68
"17",-20,-54,-30,-11,-9,-20,-14,-60,0.755371,-0.642578,0.0322266,35.375,-154.75,132.562,60,33,107,-8,-3,1,5,79,-15,-24,24,0.819824,0.470215,0.0737305,-22.875,-64.1875,-81.625,111,27,63
"18",2,0,19,4,1,0,5,34,0.796387,-0.752441,-0.00439453,14.3125,-77.6875,67.4375,54,35,115,-6,-4,-3,-2,10,2,3,24,0.766602,0.45166,0.125977,0.25,35.8125,9.75,113,28,61
"19",-18,7,16,-3,-3,-2,15,-13,0.841797,-0.646484,0.0273438,-6.625,13.4375,-5.625,53,36,116,1,0,-4,-10,-7,-10,0,3,0.819824,0.454102,0.180664,34.1875,86.1875,56.375,111,29,64
"20",19,3,-3,8,1,4,-3,20,0.791992,-0.621094,0.0893555,-26.6875,89.0625,-61.3125,55,34,112,-17,1,1,-2,15,-3,3,-6,0.954102,0.32666,0.327637,40.25,128.75,95.625,105,31,72
"21",2,-3,5,-2,-4,-2,4,0,0.824219,-0.503418,0.189941,-26.8125,94.1875,-70.3125,58,33,108,3,-3,6,26,79,54,5,25,0.85498,0.26123,0.487793,40.4375,122.188,108.312,101,34,77
"22",8,-4,8,-5,-9,-1,-2,5,0.828125,-0.44873,0.199707,-25.75,149,-102.812,64,33,99,-9,-1,0,-5,-95,-49,-1,12,0.811523,0.169922,0.660156,32.5,85.6875,101.25,97,38,85
"23",-4,-1,-12,6,3,2,2,-1,0.77002,-0.392578,0.299805,-11.0625,184.375,-82.9375,69,35,93,19,9,13,24,48,35,9,91,0.681641,-0.130371,0.86084,-11,35.375,45.1875,94,39,87
"24",1,4,10,0,0,0,-3,1,0.589844,-0.399902,0.475098,14.75,195.812,-34.8125,75,43,86,1,9,18,25,-15,7,27,-106,0.591797,-0.0825195,0.970215,9.375,-42.8125,-18.0625,94,40,88
"25",10,20,8,8,0,-4,-1,1,0.669434,-0.164062,0.724609,48.5,203.875,4.25,78,53,82,4,3,0,-17,-37,3,-7,22,0.650391,-0.117188,0.898438,-33.3125,-86.4375,-54.9375,94,38,86
"26",4,17,0,1,3,2,-1,2,0.430176,-0.236816,0.840332,60.1875,213.375,-7.1875,81,61,80,16,34,-4,-4,4,-38,-12,-76,0.749023,0.141602,0.585449,-46.1875,-136.062,-95.875,97,32,81
"27",-1,-30,-41,-1,-3,0,2,7,0.398926,-0.0732422,1.04199,89.25,191.438,-2.4375,84,73,79,-50,41,3,11,83,52,8,-43,0.850098,0.3125,0.270508,-64.9375,-160.125,-151.312,105,27,70
"28",-1,23,56,-1,-6,-12,-2,-6,0.09375,-0.160645,1.06689,80.5,161.812,4.125,86,79,78,-38,-14,-6,2,-71,-57,11,23,0.80127,0.528809,0.000976562,-39.75,-134.625,-145.312,113,26,60
"29",-14,-11,-5,-22,-4,3,5,-1,0.00341797,0.0136719,1.1543,55.25,111.375,2.1875,88,87,78,-6,-55,7,5,11,30,-4,-81,0.777344,0.57373,0.0195312,-14.125,-41.125,-61.4375,120,28,51
"30",-19,-41,-59,-11,-2,-4,-11,-11,-0.125488,-0.0791016,1.0332,13.5,77.9375,5.75,88,91,78,1,0,0,0,10,-6,3,18,0.816406,0.507812,0.0556641,13.375,58.0625,35.75,119,28,53
"31",5,-12,-26,0,-4,-4,-11,-1,-0.164551,-0.0117188,1.04199,17.4375,48.0625,14.0625,89,94,78,1,-8,2,11,13,0,-14,-1,0.794434,0.460938,0.097168,28.6875,82.5625,47.5625,117,28,56
"32",-15,-3,-3,-2,3,3,2,0,-0.174316,0.0146484,0.989258,13,34.4375,13.9375,89,96,78,-1,-3,1,4,-2,5,-2,4,0.799805,0.394043,0.245117,43.875,95.1875,50.25,114,30,61
"33",-17,-21,-7,-6,-5,8,4,-14,-0.289551,-0.289062,1.19092,12.4375,-15.625,11.25,89,97,79,-2,-3,-3,-4,-2,0,-5,-3,0.905273,0.327637,0.35498,17.625,114.375,27.25,109,33,67
"34",-30,-25,-25,-3,0,-3,-4,-3,-0.0805664,-0.11084,1.00439,-57.9375,9.3125,-2.0625,89,97,79,-2,-2,0,-1,0,-15,-7,-4,0.806641,0.291016,0.438965,-3.5625,162.812,29.8125,106,37,71
"35",13,5,13,4,3,1,5,4,-0.117188,-0.125488,1.08984,21.3125,14.875,0.9375,88,97,79,-3,-2,-2,6,19,8,-4,1,0.72998,0.237793,0.509766,-32.9375,188.188,19.3125,103,42,75
"36",-5,-23,-21,-3,-3,-16,-4,-6,-0.0830078,-0.000976562,1.04688,23.125,14.75,-0.875,89,98,78,-2,-1,-1,-3,-6,-4,-6,0,0.584961,0.214844,0.727051,-58.625,225.5,9.375,99,54,79
"37",21,21,9,1,0,-2,5,5,-0.143555,0.0263672,0.981445,2.4375,11.1875,0.5,89,99,78,4,1,2,12,85,30,11,5,0.371094,0.208008,0.927734,-93.25,190.5,-18.4375,96,66,80
"38",2,2,2,-2,-1,-5,0,9,-0.125,0.0185547,1.00098,3.0625,5.8125,5.875,90,99,79,0,-3,2,9,54,-4,1,0,0.20459,0.145996,1.07227,-83.875,152.688,-4.6875,94,72,80
"39",-15,-10,0,-3,-4,-2,-5,2,-0.119141,0.00634766,0.995605,7.75,4.875,-0.6875,90,99,79,0,4,5,-2,-27,-12,-11,-4,0.117188,0.0952148,1.07324,-36,125.312,4.375,92,80,81
"40",7,7,-2,-4,0,11,1,-5,-0.161133,-0.00244141,0.981934,11.4375,1.0625,-0.125,90,99,79,0,10,2,-5,-4,23,-5,1,-0.0678711,0.142578,0.992676,-50.375,100.625,-1.4375,91,85,81
"41",6,6,-2,0,1,-5,-3,-7,-0.14209,-0.00537109,0.995117,5.125,-1,0,90,99,79,0,0,-2,0,62,32,-6,-3,-0.0415039,-0.00488281,1.07959,-17.5,68.6875,0.6875,90,90,81
"42",4,2,0,-2,-3,0,6,31,-0.148926,0.0151367,0.996094,-4.375,-2.5,1.4375,90,99,79,-3,-2,10,5,-21,12,-5,-1,-0.0673828,-0.0869141,0.999512,-13.625,60.375,-7.5625,90,92,81
"43",11,6,1,-1,0,5,-3,-1,-0.14502,0.00195312,1.00635,-7.0625,-3.375,1.3125,90,99,79,-3,6,-9,-11,5,-32,-8,-4,-0.591797,0.254395,1.5708,-36.375,-10.625,-31.9375,90,95,81
"44",6,-11,-4,-4,-2,2,1,10,-0.144043,0.0146484,1.01904,-2.0625,-3.125,0.875,90,98,79,0,7,-1,-2,-5,-9,3,1,0.0366211,-0.220703,1.23242,-12,0.125,9.75,89,94,81
"45",-6,-2,-2,-1,1,-4,-1,-15,-0.134277,0.00292969,1.03174,-3.25,-2.9375,-1.375,90,98,79,1,-3,3,3,-3,-2,2,-1,-0.125,0.0810547,0.999023,-35.9375,13.5625,-5.625,90,95,81
"46",-8,5,-1,2,0,2,4,-7,-0.14209,-0.000976562,1.02734,2,-0.0625,-0.875,90,98,79,-2,-1,1,3,13,15,5,-1,-0.133789,-0.00195312,1.01807,-1.875,3.625,-5.5,89,96,81
"47",0,-3,-2,-2,-4,-6,-4,-1,-0.13623,-0.00341797,1.00195,-0.8125,-0.375,-1.3125,90,98,79,-3,-1,0,-1,-23,-7,5,-1,-0.0522461,-0.0556641,1.05469,11.125,3.375,-5.8125,89,96,81
"48",11,-5,-3,-4,-3,2,1,8,-0.141602,-0.00439453,1.00586,1.125,-0.8125,-0.375,90,98,79,1,1,-2,2,3,-7,-3,-2,-0.0888672,-0.0229492,1.04443,-5.5,8.125,-3.1875,89,96,80
"49",2,2,0,-2,0,-2,5,6,-0.138672,0.00439453,1.01514,-0.9375,-1.3125,-0.125,90,98,79,-1,0,1,1,1,17,7,0,-0.137207,-0.0141602,1.01074,-12,7.625,3.9375,89,96,81
"50",7,14,4,5,3,0,3,-20,-0.128906,0.000976562,1.02295,-3.75,-0.625,-0.6875,90,98,79,0,0,0,-4,-9,3,1,3,-0.126953,-0.0634766,1.01562,-19.1875,4.8125,0,88,97,81
